year,adm_cd,adm_nm,cnt
2019,33041310,낭성면,2119
2019,33041320,미원면,5072
2019,33041330,가덕면,4117
2019,33041340,남일면,6888
2019,33041350,문의면,3786
2019,33041510,중앙동,5765
2019,33041520,성안동,6663
2019,33041530,탑·대성동,9324
2019,33041540,영운동,11310
2019,33041550,금천동,30478
2019,33041560,용담·명암·산성동,13721
2019,33041570,용암1동,41720
2019,33041580,용암2동,32823
2019,33042310,남이면,10077
2019,33042320,현도면,3844
2019,33042510,사직1동,7942
2019,33042520,사직2동,14473
2019,33042530,사창동,17274
2019,33042540,모충동,17414
2019,33042550,산남동,27297
2019,33042560,분평동,32140
2019,33042570,수곡1동,14333
2019,33042580,수곡2동,13909
2019,33042590,성화·개신·죽림동,51567
2019,33043110,오송읍,20823
2019,33043310,강내면,13594
2019,33043320,옥산면,16307
2019,33043510,운천·신봉동,17874
2019,33043520,복대1동,51388
2019,33043530,복대2동,18268
2019,33043540,가경동,49818
2019,33043550,봉명1동,12279
2019,33043560,봉명2·송정동,25752
2019,33043570,강서1동,26252
2019,33043580,강서2동,13946
2019,33044110,내수읍,20625
2019,33044120,오창읍,69120
2019,33044310,북이면,5020
2019,33044510,오근장동,18215
2019,33044520,우암동,12994
2019,33044530,내덕1동,9541
2019,33044540,내덕2동,16090
2019,33044550,율량·사천동,48976
2020,33041310,낭성면,2137
2020,33041320,미원면,4857
2020,33041330,가덕면,4146
2020,33041340,남일면,6625
2020,33041350,문의면,3659
2020,33041510,중앙동,5604
2020,33041520,성안동,6777
2020,33041530,탑·대성동,8766
2020,33041540,영운동,10662
2020,33041550,금천동,29172
2020,33041560,용담·명암·산성동,13286
2020,33041570,용암1동,52809
2020,33041580,용암2동,36288
2020,33042310,남이면,10094
2020,33042320,현도면,3844
2020,33042510,사직1동,7463
2020,33042520,사직2동,14130
2020,33042530,사창동,17287
2020,33042540,모충동,16021
2020,33042550,산남동,27034
2020,33042560,분평동,31258
2020,33042570,수곡1동,14010
2020,33042580,수곡2동,13416
2020,33042590,성화·개신·죽림동,47832
2020,33043110,오송읍,23027
2020,33043310,강내면,12483
2020,33043320,옥산면,17988
2020,33043510,운천·신봉동,17160
2020,33043520,복대1동,52009
2020,33043530,복대2동,17848
2020,33043540,가경동,50713
2020,33043550,봉명1동,11467
2020,33043560,봉명2·송정동,25508
2020,33043570,강서1동,28130
2020,33043580,강서2동,14257
2020,33044110,내수읍,20085
2020,33044120,오창읍,69965
2020,33044310,북이면,4911
2020,33044510,오근장동,18137
2020,33044520,우암동,12468
2020,33044530,내덕1동,9201
2020,33044540,내덕2동,14688
2020,33044550,율량·사천동,48104
2021,33041310,낭성면,2139
2021,33041320,미원면,4708
2021,33041330,가덕면,3740
2021,33041340,남일면,6518
2021,33041350,문의면,3531
2021,33041510,중앙동,6735
2021,33041520,성안동,6834
2021,33041530,탑·대성동,8460
2021,33041540,영운동,10463
2021,33041550,금천동,30582
2021,33041560,용담·명암·산성동,13116
2021,33041570,용암1동,53471
2021,33041580,용암2동,39314
2021,33042310,남이면,9896
2021,33042320,현도면,3443
2021,33042510,사직1동,6619
2021,33042520,사직2동,13533
2021,33042530,사창동,16283
2021,33042540,모충동,15815
2021,33042550,산남동,25983
2021,33042560,분평동,30507
2021,33042570,수곡1동,13612
2021,33042580,수곡2동,15722
2021,33042590,성화·개신·죽림동,44113
2021,33043110,오송읍,23749
2021,33043310,강내면,13007
2021,33043320,옥산면,17802
2021,33043510,운천·신봉동,16712
2021,33043520,복대1동,51006
2021,33043530,복대2동,17455
2021,33043540,가경동,55081
2021,33043550,봉명1동,11571
2021,33043560,봉명2·송정동,24869
2021,33043570,강서1동,27995
2021,33043580,강서2동,14236
2021,33044110,내수읍,19686
2021,33044120,오창읍,70766
2021,33044310,북이면,4746
2021,33044510,오근장동,17933
2021,33044520,우암동,12325
2021,33044530,내덕1동,8974
2021,33044540,내덕2동,16557
2021,33044550,율량·사천동,47316
2022,33041310,낭성면,2099
2022,33041320,미원면,4612
2022,33041330,가덕면,3756
2022,33041340,남일면,6448
2022,33041350,문의면,3453
2022,33041510,중앙동,6618
2022,33041520,성안동,6694
2022,33041530,탑·대성동,8266
2022,33041540,영운동,10280
2022,33041550,금천동,29940
2022,33041560,용담·명암·산성동,12895
2022,33041570,용암1동,56418
2022,33041580,용암2동,40031
2022,33042310,남이면,9823
2022,33042320,현도면,3455
2022,33042510,사직1동,5511
2022,33042520,사직2동,12857
2022,33042530,사창동,16581
2022,33042540,모충동,19043
2022,33042550,산남동,25499
2022,33042560,분평동,29525
2022,33042570,수곡1동,13577
2022,33042580,수곡2동,15364
2022,33042590,성화·개신·죽림동,42897
2022,33043110,오송읍,24456
2022,33043310,강내면,13292
2022,33043320,옥산면,17661
2022,33043510,운천·신봉동,16275
2022,33043520,복대1동,49944
2022,33043530,복대2동,17717
2022,33043540,가경동,55118
2022,33043550,봉명1동,11517
2022,33043560,봉명2·송정동,23843
2022,33043570,강서1동,27804
2022,33043580,강서2동,16487
2022,33044110,내수읍,19394
2022,33044120,오창읍,70202
2022,33044310,북이면,4633
2022,33044510,오근장동,17642
2022,33044520,우암동,12381
2022,33044530,내덕1동,8716
2022,33044540,내덕2동,17291
2022,33044550,율량·사천동,48485
